Foto	Ref.	Dirección	Planta	m²	Nºhab.	Garaje	Precio	Fecha oferta	
	47995	CALLE TERUEL, 37	3	72,28	3	-	750,00 €	26/04/2012	
	14551	CALLE TOPETE, 38	BAJO	20	2	-	700,00 €	14/03/2016	
	9051	CALLE TRAVESIA DEL ARROYO, 14	1	25	1	-	420,00 €	30/09/2013	
	39811	CALLE TREBOL, 15	3	55	2	-	850,00 €	06/06/2014	
	1660	CALLE TREBOL, 16	BAJO	40	1	-	500,00 €	07/03/2014	
	179348	CALLE VALLDEMOSA, 12	1	48	2	-	700,00 €	25/02/2016	
	46069	CALLE VALLDEMOSA, 13	2	45	2	-	600,00 €	24/02/2012	
	63288	CALLE VALLE DE CACHEMIRA, 44	8	54	1	-	700,00 €	12/01/2015	
	62208	CALLE VEZA, 13	1	60	4	-	650,00 €	04/08/2014	
	46868	CALLE VEZA, 23	3	100	4	-	850,00 €	21/03/2012	
	63778	CALLE VEZA, 36	2	40	1	si	700,00 €	18/03/2015	
	43510	CALLE VEZA, 36	1	43,11	1	-	600,00 €	27/09/2012	
	877	CALLE VEZA, 36	2	49	1	-	595,00 €	25/11/2013	
	63693	CALLE VILLAAMIL, 21	6	90	3	-	900,00 €	09/03/2015	
	63482	CALLE VILLAAMIL, 46	3	50	2	-	700,00 €	06/02/2015	
	64406	CALLE VILLAAMIL, 46	4	67,92	2	-	700,00 €	23/06/2015	
	63483	CALLE VILLAAMIL, 46	BJ	61	2	-	750,00 €	06/02/2015	
	57015	CALLE VILLAAMIL, 64	4	47,31	3	-	700,00 €	20/05/2013	
	179371	CALLE VILLAAMIL, 64	4	63,75	3	-	650,00 €	29/02/2016	
	54677	CALLE VILLAAMIL, 65	1	35	1	-	640,00 €	18/02/2013	
	53832	CALLE VILLAAMIL, 65	2º	31,2	1	si	600,00 €	15/07/2015	
	64573	CALLE VILLAAMIL, 76	2	46	3	-	775,00 €	16/07/2015	
	26174	CALLE VILLAAMIL, 8	3	40	1	-	500,00 €	07/03/2016	
	37789	CALLE VIÑA VIRGEN, 5	1	83	3	-	900,00 €	25/05/2011	
	19465	CALLE VIZCAINOS, 1	1	47,25	1	-	650,00 €	10/04/2013	
	47885	CALLE VOLUNTARIOS CATALANES, 46	1	33	2	si	650,00 €	15/04/2014	
	7797	CALLE VOLUNTARIOS CATALANES, 67	1	25	1	-	450,00 €	26/06/2014	
	64232	CALLE VOLUNTARIOS CATALANES, 68	2	43,74	2	si	760,00 €	28/05/2015	
	58612	CALLE VOLUNTARIOS CATALANES, 74	1	41	1	si	625,00 €	15/07/2014	
	65541	CALLE WAD RAS, 6	3	86	2	-	900,00 €	12/01/2016	
	51861	CALLE ZAMORA, 5	2		2	-	900,00 €	01/10/2012	
	179391	CALLEJÓN SAN RAFAEL, 7	4	33,15	2	-	500,00 €	01/03/2016	
	23968	CALLEJÓN SAN RAFAEL, 7	3	32,97	2	-	600,00 €	14/02/2014	
	31425	GLORIETA CUATRO CAMINOS, 4	3	71,86	3	-	890,00 €	16/12/2015	
	58905	PASAJE DE LA DIRECCION, 158	2		1	-	540,00 €	18/09/2013	
	61159	PASAJE DE LA DIRECCION, 8	4	43,56	2	-	650,00 €	28/03/2014	
	47261	PASEO CASTELLANA, 205	3	63	3	-	900,00 €	25/11/2013	
	27778	PASEO CASTELLANA, 229	8	129	4	-	1100,00 €	10/08/2010	
	39439	PASEO CASTELLANA, 241	8	103	4	-	1300,00 €	01/08/2011	
	53292	PASEO DE LA DIRECCION, 178	3	50	3	-	750,00 €	27/11/2012	
	50829	PASEO DE LA DIRECCION, 340	4		1	si	750,00 €	20/08/2012	
	44357	PASEO DE LA DIRECCION, 340	2	48	1	-	550,00 €	20/01/2014	
	47118	PASEO DE LA DIRECCION, 60	4	51,3	2	-	750,00 €	28/03/2012	
	29308	PASEO DE LA DIRECCION, 87	3	65	2	-	700,00 €	05/09/2013	
	57227	PASEO DIRECCION, 338		47,7	1	si	600,00 €	30/05/2013	
	49391	PASEO DIRECCION, 36	4	35,35	2	si	950,00 €	19/06/2012	
	50344	PASEO DIRECCION, 51	3	51	2	-	700,00 €	25/07/2012	
	46595	PASEO DIRECCION, 60	2	42	2	-	650,00 €	12/03/2012	
	56252	PLAZA CARBALLO, 16	4	41,07	2	-	600,00 €	11/04/2013	
	54156	PLAZA CONDESA DE GAVIA, 4	1º	114	4	si	1000,00 €	10/01/2013	
	56944	PLAZA MONDARIZ, 12	9	50	2	-	600,00 €	03/07/2014	
	32948	TRAVESÍA INFANTA MERCEDES, 2	2	69,849	2	-	950,00 €	20/01/2014	

Foto	Ref.	Dirección	Planta	m²	Nºhab.	Garaje	Precio	Fecha oferta	
	48487	AVENIDA DE LOS ROSALES, 78	3	81,45	3	si	800,00 €	19/07/2013	
	46252	AVENIDA ESPINELA, 18	4	32,8	2	-	425,00 €	13/01/2014	
	56614	AVENIDA FELICIDAD, 36	4	99	3	-	690,00 €	06/09/2013	
	59590	AVENIDA FELICIDAD, 45	BAJO	75,42	3	-	650,00 €	31/10/2013	
	58370	AVENIDA LOS ROSALES, 16	4º	64,25	2	si	800,00 €	12/08/2013	
	179414	AVENIDA LOS ROSALES, 62	1	79	3	si	750,00 €	08/03/2016	
	6219	AVENIDA OROVILLA, 39	4	75,31	3	-	690,00 €	20/01/2014	
	45770	AVENIDA OROVILLA, 57	6	78	2	-	616,00 €	08/03/2012	
	53661	AVENIDA REAL DE PINTO, 10	2	66,76	2	si	570,00 €	13/12/2012	
	60326	AVENIDA REAL DE PINTO, 11	2	58,14	3	-	575,00 €	22/02/2016	
	27395	AVENIDA REAL DE PINTO, 35	2	63,3	2	-	450,00 €	06/04/2015	
	24746	AVENIDA REAL DE PINTO, 50	1	37,65	1	si	600,00 €	11/08/2014	
	46816	AVENIDA VERBENA DE LA PALOMA, 4	3º	88,2	3	-	750,00 €	16/03/2012	
	32483	CALLE ACANTITA, 5	5	58,78	2	si	680,00 €	04/03/2014	
	45390	CALLE ACANTITA, 6	1	70	3	si	720,00 €	02/09/2014	
	56282	CALLE ADORA, 3	9	68,17	3	-	550,00 €	16/04/2013	
	59357	CALLE AFECTO, 5	BAJO	63	2	si	650,00 €	09/09/2015	
	55152	CALLE ALBERTO PALACIOS, 4	3	46,23	2	-	600,00 €	19/02/2013	
	50883	CALLE ALBERTO PALACIOS, 4	4	46,6	1	-	600,00 €	22/08/2012	
	57104	CALLE ALBINO HERNANDEZ LAZARO, 4	2	49,29	2	-	500,00 €	23/05/2013	
	57761	CALLE ALCOCER, 28	10	91,81	3	-	650,00 €	03/07/2013	
	60502	CALLE ALCOCER, 33	4	48,67	2	-	400,00 €	29/01/2014	
	30741	CALLE ALCOCER, 45	1	65,56	2	si	650,00 €	18/06/2014	
	56148	CALLE ALEGRIA DE LA HUERTA, 39	7	87,48	3	-	670,00 €	09/04/2013	
	64819	CALLE ALEGRIA DE LA HUERTA, 9	2	57,18	4	-	570,00 €	03/09/2015	
	48260	CALLE AMERICIO, 17	3	68,86	2	-	650,00 €	08/05/2012	
	45605	CALLE ANGOSTA, 6	1	56,2	3	-	600,00 €	13/02/2012	
	50802	CALLE ANOETA, 54	1	90,19	3	-	650,00 €	17/08/2012	
	20912	CALLE ANOETA, 61	8	83	3	-	800,00 €	08/07/2011	
	316	CALLE ARECHAVALETA, 34	2	57	3	-	500,00 €	04/02/2008	
	44518	CALLE ARECHAVALETA, 38	2	50	2	-	450,00 €	06/07/2015	
	52450	CALLE ARECHAVALETA, 46	3	50	2	-	530,00 €	24/10/2012	
	51621	CALLE ARECHAVALETA, 46	4	57	3	-	500,00 €	16/03/2015	
	56429	CALLE ARECHAVALETA, 48	4	45	2	-	500,00 €	24/04/2014	
	65479	CALLE ARROYO BUENO, 3	4	66,8	3	-	550,00 €	28/12/2015	
	41766	CALLE ARTESANÍA, 3	1	56,28	2	-	600,00 €	09/02/2012	
	32686	CALLE ARTESANIA, 8	2	47,58	3	-	550,00 €	28/05/2014	
	62301	CALLE ASFALTO, 4	2	78	2	-	550,00 €	18/08/2014	
	52819	CALLE ASTILLERO, 3	BAJO	51,13	3	-	600,00 €	07/11/2012	
	44842	CALLE AUGUSTOBRIGA, 1	2	25	1	si	525,00 €	20/01/2012	
	65490	CALLE AUGUSTOBRIGA, 1	AT	41,43	1	-	600,00 €	29/12/2015	
	64058	CALLE AVDA. DE LOS ROSALES, 74	4	72,85	3	si	750,00 €	04/05/2015	
	23733	CALLE BARIO, 15	4	92,36	3	si	750,00 €	06/11/2014	
	58763	CALLE BARRANCA, 19		49,55	3	-	700,00 €	11/09/2013	
	32420	CALLE BENIFERRI, 10	1	57	2	-	400,00 €	08/07/2013	
	62044	CALLE BENIFERRI, 61	6	56	3	-	450,00 €	10/07/2014	
	44176	CALLE BENIMAMET, 50	1	60	3	-	500,00 €	01/02/2013	
	53259	CALLE BERROCAL, 22	B	77,44	3	si	700,00 €	26/11/2012	
	9328	CALLE BERROCAL, 3	7	88,94	2	-	700,00 €	20/01/2014	
	52295	CALLE BERROCAL, 36	PB	59,47	2	si	684,00 €	19/10/2012	
	50651	CALLE BERROCAL, 40	4	63,39	2	si	585,00 €	25/11/2013	
	61964	CALLE BERROCAL, 70	3	70	3	-	680,00 €	01/07/2014	
	30242	CALLE BURJASOT, 22	6	63,9	2	-	550,00 €	16/09/2013	
	52454	CALLE BURJASOT, 4	9	66,1	3	-	550,00 €	24/10/2012	
	64760	CALLE BURJASOT, 6	7	58	3	-	500,00 €	24/08/2015	
	57517	CALLE C/ ALBINO  HERNANDEZ LAZARO, 8	3	63,19	3	-	460,00 €	14/06/2013	
	62072	CALLE CACEREÑOS, 33	2	45	3	-	600,00 €	14/07/2014	
	38454	CALLE CALAMOCHA, 1	3	32	1	-	435,00 €	19/01/2012	
	50411	CALLE CALCIO, 18	4	72	3	si	850,00 €	27/07/2012	
	31370	CALLE CALCIO, 22	8	77,87	3	si	920,00 €	10/06/2014	
	55119	CALLE CAMPOS IBAÑEZ, 11	3	64,8	3	-	600,00 €	18/02/2013	
	10669	CALLE CANCHAL, 38	6	84,83	2	-	750,00 €	14/11/2013	
	60252	CALLE CANCHAL, 46	4	71,27	2	-	600,00 €	08/01/2014	
	26580	CALLE CARABELOS, 47	5	53	2	-	400,00 €	13/05/2014	
	50824	CALLE CARMELITAS, 5	3	53,45	2	-	600,00 €	20/08/2012	
	44304	CALLE CIUDADANIA, 16	2	52,4	3	-	700,00 €	02/01/2012	
	32000	CALLE CIUDADANIA, 2	S/S	62	2	-	450,00 €	05/05/2015	
	31436	CALLE CIUDADANIA, 6	2	50,95	2	-	480,00 €	20/02/2013	
	61616	CALLE CIUDADANIA, 8	3	70	3	-	595,00 €	20/05/2014	
	43498	CALLE CLARA SCHUMANN, 20	5	83,04	2	si	750,00 €	02/12/2011	
	44539	CALLE COALICION, 16	1º	73,85	3	-	575,00 €	01/07/2013	
	21498	CALLE COALICION, 5	3	89,02	4	-	791,00 €	14/01/2014	
	59681	CALLE COBALTO, 19	1	58	3	-	550,00 €	14/11/2013	
	63537	CALLE COBALTO, 22	2	66,69	2	si	650,00 €	12/02/2015	
	59269	CALLE CONCEPCION DE LA OLIVA, 11	1		3	-	550,00 €	10/10/2013	
	53816	CALLE CONCILIACION, 21	2	85,68	3	si	750,00 €	04/03/2014	
	38327	CALLE CONSENSO, 21	2	103	4	-	750,00 €	22/07/2013	
	55322	CALLE CORTE DE FARAON, 15	3	67,95	2	-	600,00 €	26/02/2013	
	24194	CALLE CORTE DE FARAON, 7	BAJO	67,5	3	-	500,00 €	06/02/2015	
	53910	CALLE DE ESTRONCIO, 9	3	46,548	3	-	500,00 €	27/12/2012	
	51872	CALLE DE VILLAVERDE A PERALES, 1	2	69	2	si	750,00 €	02/10/2012	
	30888	CALLE DIAMANTE, 3	1	60,17	1	-	600,00 €	31/01/2013	
	37575	CALLE DIAMANTE, 38	1	53,94	3	-	500,00 €	05/09/2013	
	6632	CALLE DIAMANTE, 38	1	35	2	-	450,00 €	22/10/2012	
	51554	CALLE DOCTOR IGLESIAS FERNANDEZ, 3	BAJO	63,9	3	-	600,00 €	18/09/2012	
	58846	CALLE DOCTOR MARTIN AREVALO, 36	2	46,7	1	-	550,00 €	16/09/2013	
	57945	CALLE DOCTOR MARTIN AREVALO, 43	1	53,38	3	-	580,00 €	12/07/2013	
	63812	CALLE DOMINGO PARRAGA, 28	1º	90	4	-	650,00 €	23/03/2015	
	44689	CALLE DOÑA FRANCISQUITA, 3	1º	40,05	2	-	500,00 €	16/07/2013	
	179447	CALLE DOROTEO LABORDA, 9	4	64	2	-	530,00 €	14/03/2016	
	33956	CALLE DULZURA, 12	3	70	3	si	650,00 €	15/04/2014	
	45695	CALLE EDUARDO BARREIROS, 122	5º	69,22	2	si	775,00 €	14/02/2012	
	62740	CALLE EDUARDO MINGUITO, 6	2	50,2	2	-	450,00 €	17/10/2014	
	14301	CALLE ELDA, 6	2	60	3	-	550,00 €	13/02/2013	
	51636	CALLE EMILIA BALLESTER, 34	2	67,5	3	-	525,00 €	09/04/2015	
	45656	CALLE EMILIA BALLESTER, 40	1	52		-	550,00 €	14/02/2012	
	33569	CALLE ENCARNACION OVIOL, 29	2º	58	2	-	550,00 €	01/12/2014	
	51159	CALLE ENCARNACION OVIOL, 53	3	55	3	-	600,00 €	06/09/2012	
	60310	CALLE ESCANDON, 10	3	82,86	3	-	600,00 €	03/04/2014	
	40671	CALLE ESCORIAZA, 1	3	56,07	2	-	590,00 €	05/06/2013	
	46867	CALLE ESCORIAZA, 12	10	56	3	-	620,00 €	21/03/2012	
	56038	CALLE ESCORIAZA, 13	5	55,71	3	-	620,00 €	03/04/2013	
	58352	CALLE ESCRIBANOS, 22	1	57,35	3	-	530,00 €	09/08/2013	
	55930	CALLE ESMALTINA, 3	6	79,94	3	si	787,00 €	03/04/2013	
	48961	CALLE ESPERANZA MACARENA, 30	4º	44	2	-	550,00 €	01/06/2012	
	53994	CALLE ESTAFETA, 6	5	88,15	3	-	690,00 €	03/01/2013	
	1475	CALLE ESTEFANITA, 4	2	79	2	-	650,00 €	28/04/2014	
	55351	CALLE ESTEFANITA, 72	3	63	3	si	650,00 €	13/03/2013	
	55372	CALLE ESTRONCIO, 15	1	45	2	-	400,00 €	04/03/2016	
	60419	CALLE EUSKALDUNA, 1	1º	64	2	si	600,00 €	22/01/2014	
	50704	CALLE EUSKALDUNA, 1	1	90,27	3	si	900,00 €	13/08/2012	
	61583	CALLE EUSKALDUNA, 14	4	58,61	1	si	550,00 €	10/03/2016	
	41869	CALLE EUSKALDUNA, 29	3	58	2	si	650,00 €	20/05/2013	
	55522	CALLE FLORA  TRISTAN, 6	7	69,39	2	-	750,00 €	06/03/2013	
	50556	CALLE FLORA TRISTAN, 1	3	66	2	si	750,00 €	03/08/2012	
	64893	CALLE FLORA TRISTAN, 10	2	85	3	-	750,00 €	15/09/2015	
	12336	CALLE FLORA TRISTAN, 4	1	65	2	-	620,00 €	14/08/2013	
	1392	CALLE FLORA TRISTAN, 5	3	66,09	2	si	685,00 €	11/02/2015	
	58070	CALLE FRANCISCO DEL PINO, 14	3	54,85	3	-	600,00 €	22/07/2013	
	64776	CALLE FUENTE DE LA CAPONA, 1	4	62	3	-	550,00 €	27/08/2015	
	45889	CALLE GENEROSIDAD, 30	BJO	67,26	3	si	700,00 €	07/11/2013	
	54500	CALLE GETAFE, 25	BJ	56,49	2	-	530,00 €	22/01/2013	
	56061	CALLE GETAFE, 6	B	56,7	2	-	500,00 €	04/04/2013	
	54574	CALLE GETAFE, 6	BAJO	76	2	-	600,00 €	25/01/2013	
	51390	CALLE GILENA, 24	BAJO	55,2	4	-	600,00 €	27/09/2012	
	50790	CALLE GILENA, 26	2	53,05	3	-	600,00 €	17/08/2012	
	57874	CALLE GILENA, 3	1	68	3	-	500,00 €	09/07/2013	
	47539	CALLE GODELLA, 162	2	54	3	-	650,00 €	11/04/2012	
	55747	CALLE GODELLA, 191	1	64,59	2	-	400,00 €	22/03/2013	
	63561	CALLE GODELLA, 237	BAJO	42,87	3	-	350,00 €	17/02/2015	
	40199	CALLE GODELLA, 26	6	54	3	-	750,00 €	30/08/2011	
	54057	CALLE GODELLA, 42	4	53,86	3	-	400,00 €	29/04/2013	
	5243	CALLE GODELLA, 5	5	58,08	2	-	450,00 €	20/05/2014	
	51747	CALLE GODELLA, 52	5	64,8	2	-	600,00 €	26/09/2012	
	53205	CALLE GODELLA, 74	3º	55,8	3	-	500,00 €	22/11/2012	
	56612	CALLE GOMEZ ACEBO, 9	3	33,3	2	-	500,00 €	30/04/2013	
	50718	CALLE GRAFITO, 27	2	34,65	1	-	550,00 €	14/08/2012	
	61361	CALLE GRAFITO, 38	B	44	2	-	450,00 €	21/04/2014	
	62901	CALLE GRAFITO, 42	BAJO	39,57	1	-	400,00 €	12/11/2014	
	53874	CALLE GRAFITO, 42	3	79,074	3	-	500,00 €	03/03/2014	
	48556	CALLE GRAFITO, 44	3	63,61	3	-	550,00 €	18/05/2012	
	23208	CALLE GRAZIA DELEDDA, 11	1	78,99	3	-	765,00 €	08/10/2012	
	15354	CALLE GRAZIA DELEDDA, 13	6	81	3	-	850,00 €	06/02/2014	
	39121	CALLE GREGORIO ORTIZ, 11	2	69	3	-	550,00 €	19/05/2014	
	53540	CALLE HERMANDAD DE DONANTES DE SANGRE, 1	BJ	81,9	2	-	850,00 €	10/12/2012	
	56139	CALLE HERMANDAD DONANTES DE SANGRE, 13	6	88,58	3	-	750,00 €	09/04/2013	
	55476	CALLE HORCAJO, 2	3	37	2	-	500,00 €	05/03/2013	
	51105	CALLE HUERTA DE VILLAVERDE, 5	3	47	2	-	700,00 €	04/09/2012	
	50567	CALLE IGNACIO SANCHEZ VIÑUELAS, 5	3	62,92	2	-	500,00 €	06/08/2012	
	53376	CALLE IGNACIO SANTOS VIÑUELAS, 31	2º	54,8	2	-	550,00 €	30/11/2012	
	32667	CALLE JOSE DEL PINO JIMENEZ, 17	2	50	2	-	550,00 €	29/12/2010	
	13037	CALLE JOSE DEL PINO, 3	1	50,98	2	-	470,00 €	14/05/2014	
	46470	CALLE JOSE DEL PINO, 70	3	35,46	2	-	550,00 €	08/03/2012	
	179425	CALLE JOSE MARTINEZ SECO, 69	2	40	2	-	500,00 €	10/03/2016	
	58149	CALLE JUAN JOSE MARTINEZ SECO, 39	1	40	2	-	485,00 €	26/07/2013	
	32961	CALLE JUAN JOSE MARTINEZ SECO, 43	PB	36	2	-	500,00 €	13/05/2014	
	54342	CALLE JUAN JOSE MARTINEZ SECO, 74	3º	58,2	3	-	550,00 €	16/01/2013	
	58578	CALLE JULIA SOLA, 2	1	56,28	2	-	500,00 €	12/09/2013	
	30531	CALLE LA ALEGRIA DE LA HUERTA, 41	3	84,51	3	-	600,00 €	11/04/2013	
	55096	CALLE LA CANCION DEL OLVIDO, 3	3	70	3	-	600,00 €	15/02/2013	
	60758	CALLE LA DE L MANOJO DE ROSAS, 93	5	65	3	-	600,00 €	18/02/2014	
	17963	CALLE LA DEL MANOJO DE ROSAS, 30	2	79,43	3	-	600,00 €	07/02/2014	
	56583	CALLE LA DEL MANOJO DE ROSAS, 73	1º	77,9	3	-	600,00 €	29/04/2013	
	54951	CALLE LA DEL MANOJO DE ROSAS, 79	8	68	3	-	600,00 €	11/02/2013	
	61068	CALLE LA DEL MANOJO DE ROSAS, 8	2	67,95	3	-	550,00 €	20/03/2014	
	30971	CALLE LA DEL MANOJO DE ROSAS, 89	3	69,09	3	-	550,00 €	19/02/2013	
	24261	CALLE LA DEL MANOJO DE ROSAS, 90	2	68,78	2	-	540,00 €	30/01/2015	
	7897	CALLE LA DEL MANOJO DE ROSAS, 96	3	63,1	2	-	650,00 €	23/05/2009	
	52211	CALLE LA DEL SOTO DEL PARRAL, 35	3	74	3	-	600,00 €	16/10/2012	
	58347	CALLE LA DEL SOTO DEL PARRAL, 61	7	64,58	2	-	550,00 €	09/08/2013	
	51327	CALLE LA DOLOROSA, 12	4	57,18	4	-	650,00 €	11/09/2012	
	59935	CALLE LAGUNAS DE NEILA, 26	4	67,5	2	si	750,00 €	29/11/2013	
	5675	CALLE LAGUNAS DE NEILA, 6	2	67,5	2	-	700,00 €	05/04/2013	
	179408	CALLE LAGUNAS DE NEILA, 8	6	87,79	2	si	850,00 €	04/03/2016	
	33406	CALLE LAGUNAS DE NEILA, 8	2	58	2	si	650,00 €	06/06/2014	
	59837	CALLE LAS LAGUNAS DE NEILA, 16	2	67,5	2	si	700,00 €	20/11/2013	
	179406	CALLE LAS LENGUAS, 6G	1	47,33	1	si	525,00 €	04/03/2016	
	47352	CALLE LENGUAS, 18	2º	40,5	1	si	660,00 €	03/04/2012	
	49781	CALLE LENGUAS, 22	2	43	1	si	600,00 €	04/06/2013	
	46735	CALLE LENGUAS, 24	6º	47,4	1	si	600,00 €	14/03/2012	
	48580	CALLE LENGUAS, 24	7	44,17	1	si	600,00 €	21/05/2012	
	48665	CALLE LENGUAS, 24	7º	49,68	1	si	550,00 €	01/12/2014	
	38355	CALLE LENGUAS, 24	7º	53	1	-	600,00 €	02/04/2012	
	61824	CALLE LEONOR GONGORA, 4	1	40	2	-	450,00 €	13/06/2014	
	51955	CALLE LEONOR GONGORA, 43	1º	57,6	3	-	520,00 €	04/10/2012	
	62481	CALLE LILLO, 34	5	72,31	3	-	670,00 €	12/09/2014	
	61260	CALLE LILLO, 5	9	101,4	2	-	600,00 €	07/04/2014	
	49891	CALLE LILLO, 5	5	103,5	3	-	800,00 €	06/07/2012	
	26279	CALLE LIMONITA, 16	3	76,88	3	si	650,00 €	26/08/2014	
	51992	CALLE LIMONITA, 5	BJ	52,88	2	si	638,00 €	31/10/2012	
	51916	CALLE LITAGO, 1	2º	54	3	-	650,00 €	03/10/2012	
	50070	CALLE MAGNESIA, 24	2	55,8	3	-	550,00 €	16/07/2012	
	56946	CALLE MAGNESIA, 24	1	64,8	3	-	695,00 €	16/05/2013	
	59035	CALLE MAGNESIA, 5	3º	64	3	-	600,00 €	26/09/2013	
	2194	CALLE MANOLA Y ROSARIO, 1	4	44,94	2	-	400,00 €	28/01/2015	
	40166	CALLE MARIA BARRIENTOS, 4	1	67	2	-	750,00 €	20/05/2014	
	44573	CALLE MARIA MARTINEZ OVIOL, 11	4	56	2	-	425,00 €	11/01/2012	
	42014	CALLE MARIA MARTINEZ OVIOL, 3	3	43,46	2	-	450,00 €	15/12/2014	
	25472	CALLE MARIA ORUE, 5	1	56	3	-	550,00 €	01/09/2014	
	50292	CALLE MARIANO MATESANZ, 7	B	33,3	1	-	500,00 €	23/07/2012	
	49531	CALLE MATACHEL, 19	BJ	58	3	-	550,00 €	25/09/2013	
	49179	CALLE MENASALBAS, 6	11	85	4	-	760,00 €	11/06/2012	
	49022	CALLE MIGUEL SOLAS, 37	3º	65,91	3	-	600,00 €	04/06/2012	
	41068	CALLE MIGUEL SOLAS, 4	atico	28,91		-	500,00 €	23/09/2011	
	56477	CALLE MONCADA, 113	3	58,37	3	-	650,00 €	23/04/2013	
	42597	CALLE MONCADA, 122	6	53,67	3	-	500,00 €	05/09/2013	
	47847	CALLE NUESTRA SEÑORA DE BEGOÑA, 8	3	55	3	-	650,00 €	23/04/2012	
	61366	CALLE NUÑO GOMEZ, 10	3	59,2	3	-	500,00 €	21/04/2014	
	54684	CALLE NUÑO GOMEZ, 15	4	55	3	-	500,00 €	30/01/2013	
	36955	CALLE NUÑO GOMEZ, 5	4	65	3	-	450,00 €	04/06/2014	
	29209	CALLE OASIS, 10	1	45	2	-	550,00 €	31/07/2015	
	28625	CALLE ORIO, 4	5	50	3	-	700,00 €	06/06/2014	
	47886	CALLE ORO, 10	7	70	2	-	650,00 €	29/07/2014	
	55780	CALLE OROVILLA, 65	7	82	3	-	700,00 €	19/03/2013	
	64174	CALLE OROVILLA, 65	7º	82,91	3	si	800,00 €	08/06/2015	
	62790	CALLE PALOMARES, 10	1	73	3	-	500,00 €	24/10/2014	
	56971	CALLE PALOMARES, 18	1	57,46	3	-	550,00 €	16/05/2013	
	58832	CALLE PALOMARES, 64	1	46	2	-	550,00 €	16/09/2013	
	47836	CALLE PAN Y TOROS, 28	BAJO	71	3	-	650,00 €	23/04/2012	
	53733	CALLE PAN Y TOROS, 37	3	72,34	4	-	750,00 €	18/12/2012	
	65385	CALLE PAN Y TOROS, 41	4	86	4	-	700,00 €	16/12/2015	
	42418	CALLE PAN Y TOROS, 6	5	83	3	-	650,00 €	09/09/2014	
	54607	CALLE PATERNA, 24	2	52,33	3	-	500,00 €	04/02/2013	
	41551	CALLE PATERNA, 37	4	58,15	3	-	575,00 €	21/05/2014	
	59314	CALLE PILAR LORENGAR, 9	1	71,69	3	si	600,00 €	11/10/2013	
	55135	CALLE PLATINO DE MADRID, 29	3	36	2	-	430,00 €	19/02/2013	
	52356	CALLE POTASA, 20	BAJO	66,18	3	-	550,00 €	07/01/2014	
	55529	CALLE PRINCIPAL, 21	3	68	2	si	680,00 €	29/12/2015	
	58175	CALLE PROTOGINA, 3	BJ	58	2	-	500,00 €	30/07/2013	
	179487	CALLE PUEBLA DE SANABRIA, 4	2	82,71	3	si	600,00 €	02/06/2016	
	53709	CALLE PUEBLA DE SANABRIA, 4	2	82,71	3	-	600,00 €	24/04/2015	
	56498	CALLE ROCAFORT, 27	1	38	4	-	550,00 €	24/04/2013	
	52069	CALLE ROCAFORT, 29	2	42	4	-	500,00 €	09/10/2012	
	60596	CALLE ROCAFORT, 56	3	49,5	3	-	580,00 €	06/02/2014	
	34430	CALLE ROCAFORT, 68	2	49,5	2	-	500,00 €	14/05/2014	
	59754	CALLE RUTILO, 10	6	90	4	si	750,00 €	14/11/2013	
	48945	CALLE RUTILO, 7	5	98,41	3	-	680,00 €	01/06/2012	
	63310	CALLE SAHARA, 12	SM	49,63	2	-	450,00 €	14/01/2015	
	38028	CALLE SAHARA, 12	4	48,15	2	-	500,00 €	20/09/2013	
	57813	CALLE SAHARA, 46	SS	48,15	2	-	530,00 €	05/07/2013	
	30560	CALLE SAHARA, 71	bajo	54	3	-	550,00 €	03/11/2010	
	55516	CALLE SAHARA, 73	4	57	3	-	700,00 €	06/03/2013	
	56801	CALLE SAHARA, 87	1	52,69	3	-	550,00 €	09/05/2013	
	36503	CALLE SAHARA, 89	3	54	3	-	480,00 €	21/10/2014	
	43735	CALLE SALSIPUEDES, 1	1º	63	3	-	500,00 €	13/12/2012	
	49885	CALLE SALSIPUEDES, 20	BJO	39,54	2	-	450,00 €	10/01/2014	
	61016	CALLE SAN AGAPITO, 9	2	68,52	3	si	600,00 €	24/03/2014	
	59959	CALLE SAN LUCIANO, 1	4	47,17	2	-	550,00 €	03/12/2013	
	51573	CALLE SAN LUCIANO, 14	11	55,26	2	-	540,00 €	18/09/2012	
	28160	CALLE SAN LUCIANO, 14	3	60	3	-	575,00 €	26/04/2013	
	21319	CALLE SAN LUCIANO, 2	4	66	3	-	500,00 €	20/10/2014	
	46427	CALLE SAN LUCIANO, 2	7	61,92	2	-	700,00 €	07/03/2012	
	52502	CALLE SARGENTO BARRIGA, 3	4			-	450,00 €	26/10/2012	
	53461	CALLE SARGENTO BARRIGA, 7	1	63,12	3	-	550,00 €	05/12/2012	
	59456	CALLE SILVINA, 13	7	103,79	3	si	800,00 €	21/10/2013	
	37254	CALLE SILVINA, 25	2	80	2	si	625,00 €	12/06/2014	
	35939	CALLE SILVINITA, 11	1	89,92	3	si	630,00 €	26/11/2014	
	65248	CALLE SILVINITA, 5	3	65	2	si	600,00 €	16/11/2015	
	30409	CALLE SILVINITA, 7	3	62,27	2	si	600,00 €	13/11/2014	
	59579	CALLE TALCO, 18	1	40,51	2	-	400,00 €	30/10/2013	
	40485	CALLE TALCO, 37	BJ	48,66	2	-	450,00 €	17/10/2011	
